Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;proxima carga estandar de VA;Columna1;Columna2
1046628;ZSTO;PROTECTOR SOLAR CREMA 65FPS X90ML;374;RE;500;500;SEGURIDAD;600;;600;120,00%;29/9/2026;178;
1016946;ZSSD;TALO LIBRETA DE MAQUINISTA 50H X DUPLICA;374;RE;120;120;LIBRERIA;150;;150;125,00%;29/9/2026;46;
1047285;ZSCD;MECHA WIDIA SDS PLUS Ø12MM 450MM;374;RE;10;10;FERRETERIA;13;;13;130,00%;29/9/2026;#N/D;
1017086;ZSSD;AZADA CON CABO;374;RE;20;20;FERRETERIA;2;24;26;130,00%;29/9/2026;#N/D;
1043077;ZSCD;CAPUCHON PARA HIERRO P. 8/25 MM.;374;RE;1500;1500;FERRETERIA;2000;;2000;133,33%;29/9/2026;#N/D;
1001945;ZSTO;ADHESIVO FASTIX BLANCO 100ML XUN;374;RE;6;6;FERRETERIA;8;;8;133,33%;29/9/2026;4;
1002069;ZSTO;PANTALON PRIMERA PIEL T.XXXL;374;RE;20;20;SEGURIDAD;28;;28;140,00%;29/9/2026;7;
1001888;ZSTO;BOLSAS RESIDUOS XUN 102X130 NEGRA;374;RE;460;460;LIMPIEZA;400;250;650;141,30%;29/9/2026;#N/D;
1001890;ZSTO;ABSORBENTE MINERAL DE HIDROCARBUROS X KG;374;RE;90;90;SEGURIDAD;128;;128;142,22%;29/9/2026;24;
1001687;ZSTO;ANTEOJO INCOLORO;374;RE;550;550;SEGURIDAD;800;;800;145,45%;29/9/2026;200;
1001677;ZSTO;CLAVOS P.PARIS 3 XKG;374;RE;61;61;ACEROS;90;;90;147,54%;29/9/2026;30;
1001968;ZSTO;ESMALTE SINT. AEROSOL AMARILLO X440CC;374;RE;35;35;PINTURAS;54;;54;154,29%;29/9/2026;9;
1041531;ZSCD;DISCO P SIERRA CIRCULAR D9PG 24 DIENTES;374;RE;25;25;FERRETERIA;25;15;40;160,00%;29/9/2026;#N/D;
1041529;ZSCD;HOJA CALADORA P/BOSCHGST650 T111C;374;RE;30;30;FERRETERIA;22;27;49;163,33%;29/9/2026;7;
1016995;ZSSD;BROCHES FLEX CON FILO N50 X1000;374;RE;17;17;LIBRERIA;28;;28;164,71%;29/9/2026;9;
1017030;ZSSD;CINTA AISLADORA AZUL ( GENERICO );374;RE;45;45;FERRETERIA;75;;75;166,67%;29/9/2026;2;
1001944;ZSTO;ADHESIVO TRANSPARENTE X70ML XUN;374;RE;4;4;FERRETERIA;7;;7;175,00%;29/9/2026;#N/D;
1001709;ZSTO;CINTA PELIGRO 200 MT ROJA BLANCA NYLON;374;RE;20;20;SEGURIDAD;36;;36;180,00%;29/9/2026;13;
1002043;ZSTO;CAMISETA PRIMERA PIEL T.S;374;RE;18;18;SEGURIDAD;35;;35;194,44%;29/9/2026;9;
1002064;ZSTO;PANTALON PRIMERA PIEL T.S;374;RE;25;25;SEGURIDAD;49;;49;196,00%;29/9/2026;26;
1016932;ZSSD;RUEDA NEUMATICA P CARRETILLA 70LT;374;RE;12;12;FERRETERIA;26;;26;216,67%;29/9/2026;12;
1015813;ZSSD;LÍQUIDO PARA LAMPAZO X 5 LTS;374;RE;10;10;LIMPIEZA;22;;22;220,00%;29/9/2026;15;
1001774;ZSTO;ESLINGA SINTETICA 4MTS 4TN CERTIFICADA;374;RE;7;7;SEGURIDAD;4;12;16;228,57%;29/9/2026;2;
1017222;ZSSD;LAPIZ A MINA 05 MM B;374;RE;6;6;LIBRERIA;18;;18;300,00%;29/9/2026;3;
1001955;ZSTO;SELLADOR DE SILICONA TRANSP;374;RE;13;13;FERRETERIA;40;;40;307,69%;29/9/2026;7;
1002055;ZSTO;MEDIAS TERMICAS T. UNICO PARA -10 GRADOS;374;RE;80;80;ROPA;293;;293;366,25%;29/9/2026;20;
1002054;ZSTO;CAMPERA 2 PIEL T. XXXL;374;RE;18;18;SEGURIDAD;104;;104;577,78%;29/9/2026;4;
1017031;ZSSD;GUANTES ALTO IMPACTO X PAR;374;RE;50;50;INDUMENTARIA;750;;750;1500,00%;29/9/2026;192;
