Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;NRO. VA01/VA21;ESTADO ITEM;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00374 TERMINAL PUNTA COLORADA;1025949;ZSSD;MECHA ACERO RAPIDO D10 MM;;;MR01;374;RE;12;12;C27;FERRETERIA MR01;FERRETERIA;INSUMOS;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1025950;ZSSD;MECHA ACERO RAPIDO D6 MM;;;MR01;374;RE;12;12;C27;FERRETERIA MR01;FERRETERIA;INSUMOS;KG;ZPAN;1000095110;ADJUDICADO;4500138639;;;;28/9/2026;8/9/2026;C27;10159723
00374 TERMINAL PUNTA COLORADA;1025951;ZSSD;MECHA ACERO RAPIDO D8 MM;;;MR01;374;RE;12;12;C27;FERRETERIA MR01;FERRETERIA;HERRAMIENTAS;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1026174;ZSTO;"JUEGO ESCOBILLAS VW AMAROK 24""";;;MR01;374;V1;2;3;C03;EQUIPOS;DESGASTE;?;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1026177;ZSTO;PULLEY SUB-ASSY (16603-0C013);TOYOTA ARG;16603-0C013;MR01;374;V1;3;4;C03;EQUIPOS;REPUESTOS;TOYOTA HILUX;KG;ZPAN;1000094999;DESPACHADO;4500137933;8/9/2026;8/9/2026;16/9/2026;7/10/2026;7/9/2026;C03;10159553
00374 TERMINAL PUNTA COLORADA;1026179;ZSTO;TENSOR;;16620-11010;MR01;374;V1;3;4;C29;FILTROS/RESPUESTOS;REPUESTOS;TOYOTA HILUX;KG;ZPAN;1000095608;SIN TRATAMIENTO;;;;;16/10/2026;16/9/2026;;10160475
00374 TERMINAL PUNTA COLORADA;1026248;ZSCD;"DISCO FLAP TYROLIT (847929SL)7""x7/8 G80";;;MR01;374;RE;60;60;C27;FERRETERIA MR01;FERRETERIA;ABRASIVOS/DISCOS;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1026272;ZSCD;DELANTAL KEVLAR C TRIPLE PROT ABDOMINAL;;;MR01;374;RE;20;20;C28;SEGURIDAD/ROPA/EPP;INDUMENTARIA;INSUMOS;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1026805;ZSTO;PILA ALCALINA AA x UN;;ENERGIZER/DURACELL (MÚLT. 4U);MR01;374;RE;35;35;C05;INFORMÁT.-HARDWARE;FERRETERIA;LIBRERIA;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1026934;ZSCD;PLOMADA 500GR;;;MR01;374;RE;7;7;C27;FERRETERIA MR01;FERRETERIA;FERRETERIA;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1026942;ZSCD;ESCUADRA ALBANIL 45° 20CMx30CM METAL;;;MR01;374;RE;7;7;C27;FERRETERIA MR01;FERRETERIA;HERRAMIENTAS;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1026943;ZSCD;ESCUADRA ALBANIL 90° 60CMx90CM METAL;;;MR01;374;RE;7;7;C27;FERRETERIA MR01;FERRETERIA;HERRAMIENTAS;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1027021;ZSTO;Aceite Caja de Engranaje 85W90 GL-5;VOLVO MAQU;BALDE DE 20LTS;MR01;374;V1;1;2;C29;FILTROS/RESPUESTOS;LUBRICANTES;?;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1027149;ZSSD;DISCO FLAP TYROLIT 115x22 GRANO 80;;;MR01;374;RE;45;45;C27;FERRETERIA MR01;FERRETERIA;?;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1027157;ZSSD;CORREA ALTERNADOR;;8PK1230;MR01;374;V1;2;2;C03;EQUIPOS;CORREAS;?;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1027332;ZSTO;CORREA;JOHN DEERE // JOHN DEERE;T230728 // T428699;MR01;374;V1;2;2;C03;EQUIPOS;CORREAS;?;KG;SIN PEDIDO;;;;;;;;;;
